Timestamp,Record,108_VWC_o,108_VWC_p,108_Soil_Temp_o,108_Soil_Temp_p,108_Room_Temp_o,108_Room_Temp_p,109_VWC_o,109_VWC_p,109_Soil_Temp_o,109_Soil_Temp_p,109_Room_Temp_o,109_Room_Temp_p
2017-10-05 9,0,0.173,0.173,28.3,27,30.2,29.5,0.0871,0.087,28.3,27.5,28.5,28.2
2017-10-05 10,8,0.171,0.173,29.9,28.1,31,30.2,0.0874,0.087,27.9,28,28.3,28.4
2017-10-05 11,80,0.17,0.171,31.3,29.4,32,31.4,0.0858,0.089,27.6,27.8,29,29.1
2017-10-05 12,140,0.169,0.171,32,31.5,32.8,32.2,0.0893,0.089,28.2,28,30.6,29.2
2017-10-05 13,203,,0.17,,32.2,,32.5,,0.088,,28.3,,30.5
2017-10-05 14,252,,0.17,,31.5,,31.8,,0.088,,28.4,,29.5
2017-10-05 15,333,,0.17,,30,,31.2,,0.088,,28,,28.7
2017-10-05 16,383,,0.17,,28.5,,29.6,,0.088,,27.5,,27.6
2017-10-05 17,449,,0.17,,27.3,,29.2,,0.088,,27.2,,27.2
2017-10-05 18,508,,0.17,,27.1,,28.1,,0.088,,27.1,,27.2
